,TickerUtoD
0,AAPL
1,ABBV
2,ABC
3,ABT
4,ADBE
5,ADI
6,ADM
7,ADSK
8,AEE
9,AEP
10,AFL
11,AIG
12,AIV
13,AIZ
14,AKAM
15,ALL
16,ALXN
17,AMAT
18,AMGN
19,AMP
20,AMT
21,AMZN
22,AON
23,APA
24,APC
25,APD
26,APH
27,ATVI
28,AVB
29,AVY
30,AXP
31,AZO
32,BA
33,BAC
34,BAX
35,BBT
36,BBY
37,BDX
38,BIIB
39,BK
40,BLL
41,BMY
42,BSX
43,BWA
44,BXP
45,C
46,CAG
47,CAH
48,CAT
49,CB
50,CBG
51,CCI
52,CCL
53,CELG
54,CERN
55,CF
56,CHK
57,CHRW
58,CI
59,CINF
60,CL
61,CLX
62,CMA
63,CME
64,CMG
65,CMI
66,CMS
67,CNP
68,COF
69,COG
70,COL
71,COST
72,CPB
73,CRM
74,CSCO
75,CSX
76,CTAS
77,CTL
78,CTSH
79,CTXS
80,CVS
81,CVX
82,D
83,DAL
84,DE
85,DFS
86,DG
87,DGX
88,DHI
89,DHR
90,DIS
91,DISCA
92,DLTR
93,DOV
94,DPS
95,DRI
96,DUK
97,DVA
98,DVN
99,EA
100,EBAY
101,ECL
102,ED
103,EFX
104,EIX
105,EL
106,EMN
107,EMR
108,EOG
109,EQR
110,EQT
111,ETFC
112,ETN
113,ETR
114,EW
115,EXC
116,EXPD
117,EXPE
118,F
119,FAST
120,FB
121,FCX
122,FDX
123,FE
124,FFIV
125,FIS
126,FISV
127,FL
128,FLIR
129,FLR
130,FLS
131,FMC
132,GD
133,GILD
134,GIS
135,GLW
136,GM
137,GPC
138,GPS
139,GRMN
140,GT
141,GWW
142,HAL
143,HAS
144,HBAN
145,HCN
146,HCP
147,HD
148,HES
149,HIG
150,HOG
151,HON
152,HP
153,HPQ
154,HRB
155,HRL
156,HRS
157,HST
158,HSY
159,HUM
160,IBM
161,IFF
162,INTC
163,INTU
164,IP
165,IPG
166,IRM
167,ISRG
168,ITW
169,IVZ
170,JEC
171,JNPR
172,JPM
173,JWN
174,K
175,KEY
176,KIM
177,KLAC
178,KMB
179,KMI
180,KMX
181,KO
182,KR
183,KSS
184,KSU
185,LEG
186,LEN
187,LH
188,LLL
189,LLY
190,LMT
191,LOW
192,LRCX
193,LUK
194,LUV
195,LYB
196,M
197,MA
198,MAC
199,MAR
200,MAS
201,MAT
202,MCD
203,MCHP
204,MCK
205,MCO
206,MDLZ
207,MET
208,MKC
209,MMC
210,MMM
211,MNST
212,MO
213,MON
214,MOS
215,MPC
216,MRK
217,MRO
218,MSFT
219,MTB
220,MU
221,MYL
222,NBL
223,NDAQ
224,NEE
225,NEM
226,NFLX
227,NFX
228,NKE
229,NOV
230,NSC
231,NTAP
232,NTRS
233,NUE
234,NVDA
235,NWL
236,NWSA
237,OKE
238,OMC
239,ORLY
240,OXY
241,PAYX
242,PBCT
243,PCAR
244,PCG
245,PCLN
246,PDCO
247,PEG
248,PEP
249,PFE
250,PFG
251,PG
252,PGR
253,PH
254,PHM
255,PKI
256,PM
257,PNC
258,PNR
259,PNW
260,PPG
261,PPL
262,PRU
263,PSX
264,PWR
265,PX
266,QCOM
267,RHI
268,RHT
269,RL
270,ROK
271,ROP
272,ROST
273,RRC
274,RSG
275,SBUX
276,SCG
277,SCHW
278,SEE
279,SHW
280,SJM
281,SNA
282,SNI
283,SO
284,SPG
285,SRCL
286,SRE
287,STI
288,STT
289,STX
290,STZ
291,SWK
292,SYK
293,SYMC
294,SYY
295,T
296,TAP
297,TEL
298,TGT
299,TIF
300,TJX
301,TMK
302,TMO
303,TRIP
304,TRV
305,TSN
306,TSS
307,TXN
308,TXT
309,UNH
310,UNM
311,UNP
312,UPS
313,USB
314,UTX
315,V
316,VAR
317,VFC
318,VIAB
319,VLO
320,VMC
321,VNO
322,VRSN
