,Date,Ticker,Price,DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Enterprise Value,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,Gross Profit,EBITDA,Net Income Avl to Common ,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Cash Flow,Beta
0,12/7/2003 10:36,AAPL,1.4306,0.072,112.7,1.25,1.84,1.1,0.02,1.06,1.64,17.077,7650000000.0,3380000000.0,40.67,4.41,0.55,,0.55,1600000000.0,,68000000.0,0.185,,7.1,4570000000.0,12.45,304000000.0,2.498,11.52,,1.742
1,2/3/2004 7:33,AAPL,1.5056,0.07,60.16,1.23,1.92,2.03,1.63,2.08,3.26,18.379,8230000000.0,3830000000.0,38.24,4.02,0.57,34.82,0.57,1710000000.0,34.82,137000000.0,0.371,6.2,8.1,4790000000.0,12.99,302000000.0,2.531,11.74,,1.749
2,6/3/2004 1:20,AAPL,1.9209,2.921,63.7,1.49,2.33,2.36,2.31,2.54,3.95,19.326,10990000000.0,6070000000.0,37.08,2.89,0.85,21.08,0.85,1710000000.0,21.08,169000000.0,0.454,6.2,8.1,4590000000.0,12.09,2.921,2.921,12.042,361000000.0,1.701
3,8/10/2004 2:02,AAPL,2.132,2.917,54.4,1.51,2.38,2.76,3.0,3.09,4.78,20.197,11750000000.0,6590000000.0,34.43,2.65,0.86,17.9,0.86,1710000000.0,17.9,211000000.0,0.557,6.2,8.1,4970000000.0,12.8,2.917,2.917,12.493,361000000.0,1.744
4,10/12/2004 5:40,AAPL,2.5899,2.917,69.28,1.98,3.13,2.76,3.0,3.09,4.78,20.197,14970000000.0,10190000000.0,41.05,3.38,1.33,27.68,1.33,1710000000.0,27.68,211000000.0,0.557,6.2,8.1,4970000000.0,12.8,2.917,2.917,12.493,564000000.0,1.802
5,12/4/2004 14:16,AAPL,4.5852,2.632,88.41,3.08,5.03,3.33,3.94,3.86,6.02,21.419,24540000000.0,20060000000.0,37.09,2.21,2.42,61.54,2.42,1710000000.0,61.54,276000000.0,0.709,6.2,8.1,5460000000.0,13.96,2.632,2.632,12.968,564000000.0,1.775
6,1/26/2005 15:16,AAPL,4.8869,2.581,57.83,2.99,5.03,5.2,6.71,6.62,10.37,24.517,29100000000.0,22700000000.0,30.35,1.71,2.33,34.66,2.33,2260000000.0,34.66,508000000.0,1.244,300.0,33.4,6450000000.0,15.94,2.581,2.581,14.312,934000000.0,1.81
7,2/4/2005 3:07,AAPL,5.3326,2.581,62.55,3.3,5.56,5.2,6.71,6.62,10.37,24.517,31480000000.0,26090000000.0,32.83,1.92,2.67,32.09,2.67,2260000000.0,32.09,508000000.0,1.24,300.0,33.4,6450000000.0,15.78,2.581,2.581,14.312,934000000.0,1.81
8,3/1/2005 10:36,AAPL,6.0198,2.581,72.01,1.86,3.11,5.2,6.71,6.63,10.37,12.259,18330000000.0,30210000000.0,18.24,2.06,3.09,37.16,3.09,2260000000.0,37.16,508000000.0,0.62,300.0,33.4,6450000000.0,7.89,2.581,2.581,14.312,1490000000.0,1.8
9,12/17/2005 11:55,AAPL,9.7413,2.956,45.64,4.37,8.07,9.58,11.84,10.52,21.29,17.232,59930000000.0,51670000000.0,,1.77,3.71,28.249,3.71,4040000000.0,28.249,1340000000.0,1.56,305.7,56.5,8260000000.0,9.802,2.956,2.956,8.941,2540000000.0,
10,1/25/2006 9:43,AAPL,10.0376,2.404,41.01,3.96,7.67,9.91,12.34,10.6,22.65,19.771,64080000000.0,56750000000.0,,1.7,3.51,26.035,3.51,4040000000.0,26.035,1610000000.0,1.85,91.5,64.7,8710000000.0,10.331,2.404,2.404,9.91,,
11,2/17/2007 21:52,AAPL,11.5391,,30.74,3.55,6.53,11.74,14.63,11.85,24.77,24.308,73110000000.0,61240000000.0,,1.32,2.96,17.819,2.96,5600000000.0,17.819,2430000000.0,2.76,77.7,23.8,11870000000.0,13.771,,2.271,13.052,3750000000.0,2.4
12,2/19/2007 17:27,AAPL,,,30.74,3.55,6.53,11.74,14.63,11.85,24.77,24.308,73110000000.0,61240000000.0,,1.31,2.96,17.819,2.96,5600000000.0,17.819,2430000000.0,2.76,77.7,23.8,11870000000.0,13.771,,2.271,13.052,3750000000.0,2.4
13,1/23/2008 6:28,AAPL,18.813,,39.59,5.89,9.69,14.56,18.37,12.95,28.52,27.766,1.3627e+11,,,1.43,,,,8150000000.0,,3500000000.0,3.93,66.8,28.5,15390000000.0,17.573,,2.361,16.659,5470000000.0,2.04
14,10/27/2008 5:55,AAPL,12.4577,,17.99,2.69,4.15,14.88,19.32,12.08,27.19,36.841,85620000000.0,61130000000.0,,0.86,1.88,9.059,1.88,8150000000.0,9.059,4830000000.0,5.36,25.7,27.0,24490000000.0,27.569,,2.462,23.674,9600000000.0,2.91
15,10/29/2008 21:14,AAPL,14.1432,,19.51,2.73,4.22,14.88,19.32,12.08,27.19,36.841,92870000000.0,64260000000.0,,0.9,1.98,9.523,1.98,8150000000.0,9.523,4830000000.0,5.36,25.7,27.0,24490000000.0,27.569,,2.462,23.674,9600000000.0,2.91
16,10/31/2008 22:34,AAPL,14.5545,,20.08,3.04,4.69,14.88,19.32,12.08,27.19,36.841,95570000000.0,74150000000.0,,1.0,2.28,10.988,2.28,8150000000.0,10.988,4830000000.0,5.36,25.7,27.0,24490000000.0,27.569,,2.462,23.674,9600000000.0,2.91
17,12/3/2008 23:41,AAPL,12.9731,,17.9,2.53,3.91,14.88,19.32,12.08,27.19,36.841,85190000000.0,57650000000.0,,0.86,1.78,8.544,1.78,11150000000.0,8.544,4830000000.0,5.36,25.7,27.0,24490000000.0,27.569,,2.462,23.674,9600000000.0,1.9
18,12/7/2008 14:27,AAPL,12.3657,,17.54,2.5,3.86,14.88,19.32,12.08,27.19,36.841,83500000000.0,59010000000.0,,0.87,1.82,8.745,1.82,11150000000.0,8.745,4830000000.0,5.36,25.7,27.0,24490000000.0,27.569,,2.462,23.674,9600000000.0,1.9
19,12/16/2008 1:57,AAPL,12.9095,,17.68,2.69,4.15,14.88,19.32,12.08,27.19,36.841,84170000000.0,62810000000.0,,0.95,1.93,9.307,1.93,11150000000.0,9.307,4830000000.0,5.36,25.7,27.0,24490000000.0,27.569,,2.462,23.674,9600000000.0,1.9
20,12/17/2008 2:12,AAPL,12.0613,,17.81,2.59,4.0,14.88,19.32,12.08,27.19,36.841,84830000000.0,59740000000.0,,0.92,1.84,8.852,1.84,11150000000.0,8.852,4830000000.0,5.36,25.7,27.0,24490000000.0,27.55,,2.462,23.674,9600000000.0,1.9
21,1/1/2009 1:31,AAPL,,,15.93,2.36,3.64,14.88,19.32,12.08,27.19,36.841,75870000000.0,52220000000.0,,0.84,1.61,7.738,1.61,11150000000.0,7.738,4830000000.0,5.36,25.7,27.0,24490000000.0,27.55,,2.462,23.674,9600000000.0,1.9
22,1/12/2009 7:25,AAPL,11.9937,,16.91,2.54,3.92,14.88,19.32,12.08,27.19,36.841,80520000000.0,56030000000.0,,0.92,1.73,8.303,1.73,11150000000.0,8.303,4830000000.0,5.36,25.7,27.0,24490000000.0,27.55,,2.462,23.674,9600000000.0,1.87
23,10/22/2009 17:48,AAPL,27.7589,,35.7,5.31,7.09,14.97,19.98,10.81,22.74,38.821,1.5935e+11,1.5935e+11,,1.51,4.61,21.19,4.61,11150000000.0,21.19,5180000000.0,5.72,14.6,11.7,24220000000.0,27.039,,2.111,28.900999,11340000000.0,1.49
24,11/12/2009 14:53,AAPL,27.3246,,32.45,5.01,6.57,15.61,20.96,10.25,23.35,40.914,1.596e+11,1.596e+11,,1.47,4.37,19.146,4.37,13140000000.0,19.146,5700000000.0,6.289,46.6,25.0,23460000000.0,26.051,,1.881,30.931,10160000000.0,1.5
25,5/22/2011 15:41,AAPL,46.066,,15.97,3.6,5.12,22.36,29.02,20.88,38.78,95.33,2.8076e+11,2.8076e+11,11.77,0.66,3.21,10.5,3.21,25680000000.0,10.5,19550000000.0,20.99,94.8,82.7,29230000000.0,31.61,0.0,1.93,66.49,2.8076e+11,1.14
26,9/2/2011 4:10,AAPL,50.6004,,15.07,3.56,5.14,23.53,30.43,22.25,41.99,108.95,3.2838e+11,3.2838e+11,11.86,0.63,3.27,10.24,3.27,25680000000.0,10.24,23610000000.0,25.28,124.7,82.0,28400000000.0,30.63,0.0,1.75,74.81,3.2838e+11,1.08
27,9/24/2011 0:15,AAPL,55.7532,,15.99,3.71,5.37,23.53,30.43,22.25,41.99,108.95,3.4413e+11,3.4413e+11,12.44,0.65,3.43,10.73,3.43,25680000000.0,10.73,23610000000.0,25.28,124.7,82.0,28400000000.0,30.63,0.0,1.75,74.81,3.4413e+11,1.07
28,9/24/2011 5:43,AAPL,55.7532,,15.99,3.71,5.37,23.53,30.43,22.25,41.99,108.95,3.4643e+11,3.4643e+11,12.44,0.65,3.45,10.8,3.45,25680000000.0,10.8,23610000000.0,25.28,124.7,82.0,28400000000.0,30.63,0.0,1.75,74.81,3.4643e+11,1.07
29,10/8/2011 5:59,AAPL,51.1686,,14.63,3.49,5.04,23.53,30.43,22.25,41.99,108.95,3.1444e+11,3.1444e+11,11.28,0.59,3.13,9.8,3.13,25680000000.0,9.8,23610000000.0,25.28,124.7,82.0,28400000000.0,30.63,0.0,1.75,74.81,3.1444e+11,0.87
30,10/14/2011 6:15,AAPL,57.087,,16.16,3.72,5.38,23.53,30.43,22.25,41.99,108.95,3.5026e+11,3.5026e+11,12.41,0.63,3.49,10.92,3.49,25680000000.0,10.92,23610000000.0,25.28,124.7,82.0,28400000000.0,30.63,0.0,1.75,74.81,3.5026e+11,0.87
31,11/3/2011 17:19,AAPL,54.5262,,14.42,3.41,4.82,23.95,31.22,22.05,41.67,117.12,3.4335e+11,3.4335e+11,10.35,0.57,3.17,9.64,3.17,43820000000.0,9.64,25920000000.0,27.68,53.7,39.0,25950000000.0,27.93,0.0,1.61,82.45,3.4335e+11,0.89
32,1/8/2012 8:59,AAPL,56.5499,,15.26,3.59,5.07,23.95,31.22,22.05,41.67,117.12,3.6663e+11,3.6663e+11,10.85,0.65,3.39,10.31,3.39,43820000000.0,10.31,25920000000.0,27.68,53.7,39.0,25950000000.0,27.92,0.0,1.61,82.45,37530000000.0,0.82
33,5/15/2012 15:13,AAPL,74.8313,,13.67,3.67,5.09,27.13,35.69,25.84,47.1,153.11,5.0493e+11,5.0493e+11,10.41,0.62,3.55,9.48,3.55,43820000000.0,9.48,38620000000.0,41.04,94.1,58.9,28540000000.0,30.52,0.0,1.58,109.63,53070000000.0,0.94
34,9/23/2012 15:53,AAPL,94.9217,,16.45,4.4,5.86,26.97,35.62,24.57,44.32,159.61,6.2861e+11,6.2861e+11,13.22,0.69,4.22,11.26,4.22,43820000000.0,11.26,40130000000.0,42.55,20.7,22.6,27650000000.0,29.5,0.0,1.57,119.22,52150000000.0,0.88
35,10/11/2012 20:20,AAPL,85.3304,,14.76,4.04,5.38,26.97,35.62,24.57,44.32,159.61,5.684e+11,5.684e+11,11.75,0.62,3.82,10.18,3.82,43820000000.0,10.18,40130000000.0,42.55,20.7,22.6,27650000000.0,29.5,0.0,1.57,119.22,52150000000.0,0.86
36,10/21/2012 5:19,AAPL,85.9472,,14.33,3.99,5.31,26.97,35.62,24.57,44.32,159.61,5.4401e+11,5.4401e+11,11.45,0.62,3.66,9.75,3.66,43820000000.0,9.75,40130000000.0,42.55,20.7,22.6,27650000000.0,29.5,0.0,1.57,119.22,52150000000.0,0.86
37,1/20/2013 19:31,AAPL,68.6158,,11.33,3.02,3.99,26.67,35.3,23.61,42.84,167.42,4.4122e+11,4.4122e+11,8.79,0.5,2.82,7.54,2.82,68660000000.0,7.54,41730000000.0,44.15,24.2,27.2,29130000000.0,30.97,0.0,1.5,125.86,50860000000.0,0.93
38,4/23/2013 3:01,AAPL,55.7505,,9.04,2.23,2.88,25.35,33.46,20.58,38.41,175.8,3.2691e+11,3.2691e+11,8.13,0.43,1.99,5.52,1.99,68660000000.0,5.52,41750000000.0,44.11,0.1,17.7,39820000000.0,42.4,0.0,1.54,135.62,56730000000.0,0.66
39,5/16/2013 23:28,AAPL,60.0542,,10.37,2.38,2.98,23.46,30.92,18.91,33.34,180.22,3.8604e+11,3.8604e+11,9.85,0.55,2.28,6.73,2.28,68660000000.0,6.73,39670000000.0,41.9,17.9,11.3,39140000000.0,41.7,0.0,1.78,144.12,55260000000.0,0.65
40,8/11/2013 2:30,AAPL,64.128,13.75,11.33,2.47,3.4,22.28,29.46,17.2,32.11,181.4,3.945e+11,3.945e+11,10.73,0.64,2.33,7.06,2.33,68660000000.0,7.06,37750000000.0,40.11,21.8,0.9,42680000000.0,46.97,16960000000.0,1.88,135.79,52890000000.0,0.87
41,6/19/2013 9:57,ABBV,40.9396,512.61,12.88,3.72,23.32,28.92,36.65,18.41,71.43,11.73,76110000000.0,76110000000.0,13.48,2.05,4.11,9.69,4.11,13870000000.0,9.69,5360000000.0,3.38,9.6,3.7,7480000000.0,4.72,15160000000.0,2.21,1.87,5940000000.0,1.81
42,10/26/2003 16:06,ABC,13.3266,0.592,30.65,0.14,1.69,0.86,1.73,3.56,11.9,211.815,6380000000.0,8450000000.0,12.78,0.84,0.17,9.29,0.17,2020000000.0,9.29,416660000.0,1.86,175.7,179.4,224820000.0,2.01,2300000000.0,1.471,34.77,,0.121
43,1/28/2004 7:37,ABC,12.6523,0.429,14.1,0.12,1.52,0.9,1.78,3.76,11.95,432.868,6320000000.0,7780000000.0,12.2,0.91,0.15,8.01,0.15,2250000000.0,8.01,456960000.0,3.998,27.9,9.8,283220000.0,2.53,1770000000.0,1.452,36.89,354820000.0,0.123
