,Ticker,Expected_Annual_Return,Stock_Volatility,Sharpe_Ratio,Beta,Risk_Free_Return,Enterprise_Value,Forward_P/E,Revenue_Growth
0,AAPL,12.192,21.2467,0.5343,0.87,6.5647,495902000000.0,11.636,33.38
1,ABC,7.3741,13.4118,0.4872,0.66,5.6415,8905000000.0,14.279999999999998,8.03
2,ABT,1.7563,6.8907,0.133,0.5,4.9381,90440000000.0,10.592,11.540000000000001
3,ADBE,9.4193,15.2536,0.5624,1.32,8.543,13851000000.0,10.870000000000001,19.830000000000002
4,ADI,5.8566,11.8437,0.4236,1.06,7.4,10117000000.0,16.176,6.880000000000001
5,ADM,2.028,9.0006,0.132,0.76,6.0811,31990000000.0,9.828000000000001,43.67
6,ADSK,6.9136,14.6755,0.4139,2.15,12.1919,6050000000.0,14.456999999999999,13.800000000000002
7,AEE,3.5326,6.7706,0.3977,0.23,3.7511,14663000000.0,15.382,13.3
8,AEP,4.0074,8.4018,0.377,0.34,4.2347,35702000000.0,11.518999999999998,5.24
9,AFL,3.1507,12.7469,0.1813,1.66,10.0377,26166000000.0,13.39,6.76
10,AIG,5.0657,13.3094,0.3175,1.68,10.1257,93812000000.0,9.446000000000002,9.89
11,AIV,4.2176,7.299,0.4628,0.95,6.9164,12167000000.0,12.991,10.420000000000002
12,AIZ,8.9673,12.8103,0.6344,0.87,6.5647,6318000000.0,11.415000000000001,7.5600000000000005
13,AKAM,5.8295,17.6245,0.2831,0.79,6.213,6049000000.0,18.902,19.630000000000003
14,ALL,6.2514,8.978,0.6027,1.01,7.1802,17926000000.0,6.8809999999999985,4.92
15,ALXN,14.0481,45.1744,0.2924,0.54,5.114,15217000000.0,28.910000000000004,44.06
16,AMAT,2.5701,4.8514,0.3566,1.54,9.5102,13183000000.0,13.190999999999999,11.27
17,AMGN,12.6558,28.5884,0.4133,0.54,5.114,48000000000.0,12.622,3.3599999999999994
18,AMP,10.163,22.3459,0.4172,1.66,10.0377,13583000000.0,7.796999999999999,10.170000000000002
