,Ticker,Expected_Annual_Return,Stock_Volatility,Sharpe_Ratio,Beta,Risk_Free_Return
0,AAPL,12.192,21.2467,0.5343,0.87,6.5647
1,ABC,7.3741,13.4118,0.4872,0.66,5.6415
2,ABT,1.7563,6.8907,0.133,0.5,4.9381
3,ADBE,9.4193,15.2536,0.5624,1.32,8.543
4,ADI,5.8566,11.8437,0.4236,1.06,7.4
5,ADM,2.028,9.0006,0.132,0.76,6.0811
6,ADSK,6.9136,14.6755,0.4139,2.15,12.1919
7,AEE,3.5326,6.7706,0.3977,0.23,3.7511
8,AEP,4.0074,8.4018,0.377,0.34,4.2347
9,AFL,3.1507,12.7469,0.1813,1.66,10.0377
10,AIG,5.0657,13.3094,0.3175,1.68,10.1257
11,AIV,4.2176,7.299,0.4628,0.95,6.9164
12,AIZ,8.9673,12.8103,0.6344,0.87,6.5647
13,AKAM,5.8295,17.6245,0.2831,0.79,6.213
14,ALL,6.2514,8.978,0.6027,1.01,7.1802
15,ALXN,14.0481,45.1744,0.2924,0.54,5.114
16,AMAT,2.5701,4.8514,0.3566,1.54,9.5102
17,AMGN,12.6558,28.5884,0.4133,0.54,5.114
18,AMP,10.163,22.3459,0.4172,1.66,10.0377
19,AMT,8.8987,15.7509,0.5116,0.14,3.3555
20,AMZN,88.0956,114.5323,0.7618,0.78,6.1691
21,AON,10.5248,13.5595,0.7142,0.73,5.9492
22,APA,-6.064,26.0076,-0.2655,1.78,10.5653
23,APC,0.7137,25.8046,-0.0049,2.35,13.0711
24,APD,9.5667,21.3873,0.408,1.1,7.5758
25,APH,6.3257,8.7312,0.6283,1.53,9.4662
26,ATVI,3.5483,6.1733,0.4387,0.71,5.8613
27,AVB,13.7227,29.4564,0.4373,0.76,6.0811
28,AVY,4.7726,11.2477,0.3496,1.28,8.3672
29,AXP,4.7425,14.4615,0.2699,1.03,7.2681
30,AZO,90.3539,92.1845,0.971,0.2,3.6192
31,BA,14.2304,23.8693,0.561,1.04,7.3121
32,BAC,0.9168,4.2021,0.0183,1.78,10.5653
33,BAX,1.8132,6.9874,0.1393,0.8,6.257
34,BBT,3.0334,7.5001,0.2925,1.13,7.7077
35,BBY,0.3547,12.1963,-0.0398,1.74,10.3894
36,BDX,12.4355,19.8222,0.585,0.83,6.3889
37,BIIB,32.8859,86.0054,0.3726,1.22,8.1034
38,BK,2.7302,7.7711,0.2432,1.34,8.6309
39,BLL,6.9829,11.2534,0.5459,0.86,6.5208
40,BMY,4.6925,11.5824,0.3326,0.12,3.2675
41,BSX,1.8049,3.3771,0.2857,1.24,8.1913
42,BWA,3.2251,12.3853,0.1926,1.78,10.5653
43,BXP,8.3924,22.7819,0.3315,0.84,6.4328
44,C,3.637,13.2673,0.2108,1.86,10.917
45,CAG,3.0843,5.0932,0.4406,0.47,4.8062
46,CAH,5.6407,13.2669,0.3619,0.46,4.7623
47,CAT,4.8898,22.8636,0.1771,1.79,10.6092
48,CB,11.8491,15.4434,0.7129,0.5,4.9381
49,CBG,2.5272,7.8319,0.2154,2.15,12.1919
50,CCI,6.7448,13.0439,0.4527,0.38,4.4106
51,CCL,2.8604,11.0925,0.1821,1.43,9.0266
52,CELG,12.5685,23.7668,0.4935,0.92,6.7845
53,CERN,3.7618,11.8508,0.2465,0.52,5.026
54,CF,1.8753,13.6292,0.076,1.83,10.7851
55,CHK,-2.7968,8.1128,-0.4483,1.36,8.7189
56,CHRW,1.9908,14.974,0.0769,0.59,5.3338
57,CI,13.8757,22.7656,0.5726,0.7,5.8174
58,CINF,7.0437,7.9125,0.784,0.73,5.9492
59,CL,3.4346,8.9717,0.2892,0.32,4.1468
